Estratégia de Vacinação contra HPV - 2015
Coberturas vacinais - HPV Quadrivalente D2 - CSV - Sexo feminino de 9 a 12 anos de idade
UF;REGIONAL;NOM_MUN;09A-POP;09A-DOS;09A-COB;10A-POP;10A-DOS;10A-COB;11A-POP;11A-DOS;11A-COB;12A-POP;12A-DOS;12A-COB;TOT-POP-09-12;TOT-DOS-09-12;TOT-COB-09-12
CE;RUSSAS;230670 - JAGUARETAMA;79;75;94,94;168;82;48,81;177;73;41,24;92;5;5,43;516;235;45,54;
CE;RUSSAS;230870 - MORADA NOVA;267;110;41,20;572;279;48,78;615;380;61,79;320;146;45,63;1774;915;51,58;
CE;RUSSAS;;817;487;59,57;1725;927;53,74;1821;1055;57,94;944;336;35,59;5307;2805;52,85;
CE;SOBRAL;230580 - IPU;195;42;21,54;409;108;26,41;428;107;25,00;221;62;28,05;1253;319;25,46;
CE;SOBRAL;230465 - GRACA;79;90;113,21;174;90;51,72;190;73;38,42;99;0;0,00;543;253;46,59;
CE;SOBRAL;230310 - CARIRE;90;0;0,00;193;0;0,00;206;2;0,97;108;0;0,00;597;2;0,34;
CE;SOBRAL;230400 - COREAU;118;95;80,51;252;127;50,40;269;136;50,56;139;47;33,81;778;405;52,06;
CE;SOBRAL;230990 - PACUJA;28;23;80,70;58;50;86,21;59;51;86,44;29;12;40,68;175;136;77,71;
CE;SOBRAL;231290 - SOBRAL;849;808;95,11;1810;1547;85,47;1940;975;50,26;1013;372;36,70;5613;3702;65,95;
CE;SOBRAL;231390 - URUOCA;65;21;32,06;138;77;55,80;146;57;39,04;75;22;29,14;425;177;41,65;
CE;SOBRAL;230365 - CATUNDA;49;20;40,82;101;66;65,35;103;54;52,43;52;14;26,92;305;154;50,49;
CE;SOBRAL;230800 - MASSAPE;189;252;133,33;399;319;79,95;422;405;95,97;218;15;6,88;1228;991;80,70;
CE;SOBRAL;230820 - MERUOCA;62;18;28,80;135;51;37,78;147;63;42,86;78;8;10,26;422;140;33,14;
CE;SOBRAL;230880 - MORAUJO;44;14;31,46;94;19;20,21;99;20;20,20;50;60;118,81;288;113;39,24;
CE;SOBRAL;230900 - MUCAMBO;70;73;104,29;147;104;70,75;155;131;84,52;79;41;51,57;451;349;77,30;
CE;SOBRAL;231395 - VARJOTA;90;68;75,56;190;123;64,74;200;105;52,50;103;40;38,83;583;336;57,63;
CE;SOBRAL;230490 - GROAIRAS;44;74;168,18;92;80;86,96;94;81;86,17;49;8;16,33;279;243;87,10;
CE;SOBRAL;230610 - IRAUCUBA;123;147;119,51;258;196;75,97;269;140;52,04;138;69;50,00;788;552;70,05;
CE;SOBRAL;230435 - FORQUILHA;108;75;69,44;231;189;81,82;248;158;63,71;129;41;31,78;716;463;64,66;
CE;SOBRAL;231170 - RERIUTABA;93;47;50,27;196;86;43,88;204;86;42,16;105;33;31,43;598;252;42,11;
CE;SOBRAL;230050 - ALCANTARAS;48;38;79,17;104;19;18,27;113;27;23,89;60;12;20,00;325;96;29,54;
CE;SOBRAL;231280 - SENADOR SA;38;0;0,00;80;5;6,25;85;5;5,88;44;7;15,91;247;17;6,88;
CE;SOBRAL;230520 - HIDROLANDIA;95;53;55,50;203;148;72,91;215;95;44,19;111;39;35,14;624;335;53,64;
CE;SOBRAL;230450 - FRECHEIRINHA;72;145;201,39;155;170;109,68;168;168;100,00;87;175;200,00;482;658;136,37;
CE;SOBRAL;231095 - PIRES FERREIRA;48;91;189,58;102;76;74,51;109;81;74,31;57;0;0,00;316;248;78,48;
CE;SOBRAL;231220 - SANTA QUITERIA;206;376;182,52;428;378;88,32;445;407;91,46;228;0;0,00;1307;1161;88,83;
CE;SOBRAL;231200 - SANTANA DO ACARAU;156;360;230,77;330;267;80,91;349;296;84,81;181;18;9,94;1016;941;92,62;
CE;SOBRAL;;2963;2930;98,89;6279;4295;68,40;6663;3723;55,88;3456;1095;31,68;19361;12043;62,20;
CE;ARACATI;230445 - FORTIM;69;28;40,29;143;78;54,55;149;76;51,01;76;13;17,11;437;195;44,57;
CE;ARACATI;230535 - ICAPUI;72;78;107,59;147;124;84,35;149;78;52,35;75;13;17,22;444;293;65,99;
CE;ARACATI;230110 - ARACATI;281;94;33,45;601;218;36,27;645;180;27,91;338;163;48,15;1865;655;35,11;
CE;ARACATI;230220 - BEBERIBE;226;180;79,65;468;373;79,70;482;464;96,27;247;90;36,44;1423;1107;77,79;
CE;ARACATI;230620 - ITAICABA;26;29;109,43;55;74;134,55;57;26;45,61;29;4;13,56;168;133;79,17;
CE;ARACATI;;675;409;60,55;1414;867;61,32;1482;824;55,60;766;283;36,92;4338;2383;54,93;
CE;CAMOCIM;230390 - CHAVAL;63;18;28,35;138;65;47,10;149;60;40,27;78;23;29,30;429;166;38,69;
CE;CAMOCIM;230470 - GRANJA;297;129;43,43;636;219;34,43;684;237;34,65;354;118;33,29;1971;703;35,66;
CE;CAMOCIM;230260 - CAMOCIM;305;144;47,21;645;277;42,95;682;369;54,11;352;142;40,28;1984;932;46,96;
CE;CAMOCIM;230205 - BARROQUINHA;78;49;62,82;168;108;64,29;180;116;64,44;93;26;27,96;519;299;57,61;
CE;CAMOCIM;230790 - MARTINOPOLE;57;45;78,95;121;91;75,21;130;111;85,38;67;27;40,30;375;274;73,07;
CE;CAMOCIM;;800;385;48,09;1708;760;44,50;1825;893;48,93;945;336;35,54;5279;2374;44,97;
CE;CANINDE;230280 - CANINDE;370;73;19,73;780;176;22,56;823;301;36,57;426;447;104,93;2399;997;41,56;
CE;CANINDE;230660 - ITATIRA;109;95;87,16;226;141;62,39;235;99;42,13;120;65;54,17;690;400;57,97;
CE;CANINDE;230300 - CARIDADE;105;23;21,90;225;33;14,67;242;38;15,70;126;36;28,57;698;130;18,62;
CE;CANINDE;230763 - MADALENA;101;19;18,72;211;48;22,75;219;60;27,40;111;22;19,73;643;149;23,17;
CE;CANINDE;231040 - PARAMOTI;59;26;44,07;124;51;41,13;130;76;58,46;66;26;39,10;379;179;47,17;
CE;CANINDE;230240 - BOA VIAGEM;263;553;210,27;552;629;113,95;580;687;118,45;297;68;22,86;1692;1937;114,45;
CE;CANINDE;;1007;789;78,31;2118;1078;50,90;2229;1261;56,57;1147;664;57,86;6502;3792;58,32;
CE;CAUCAIA;230370 - CAUCAIA;1572;134;8,52;3308;208;6,29;3490;314;9,00;1806;249;13,79;10176;905;8,89;
CE;CAUCAIA;230630 - ITAPAGE;249;375;150,60;533;421;78,99;572;487;85,14;297;278;93,60;1651;1561;94,55;
CE;CAUCAIA;230090 - APUIARES;65;2;3,08;137;1;0,73;143;32;22,38;74;16;21,48;419;51;12,16;
CE;CAUCAIA;231020 - PARACURU;157;35;22,29;329;102;31,00;344;122;35,47;177;45;25,42;1007;304;30,19;
CE;CAUCAIA;231025 - PARAIPABA;154;52;33,77;331;205;61,93;358;151;42,18;186;30;16,13;1029;438;42,57;
CE;CAUCAIA;231335 - TEJUCUOCA;91;71;77,60;194;152;78,35;208;170;81,73;107;31;28,84;601;424;70,55;
CE;CAUCAIA;231070 - PENTECOSTE;169;50;29,59;366;130;35,52;398;154;38,69;208;42;20,14;1141;376;32,94;
CE;CAUCAIA;230460 - GENERAL SAMPAIO;37;14;37,84;79;48;60,76;84;49;58,33;43;14;32,18;243;125;51,33;
CE;CAUCAIA;231260 - SAO LUIS DO CURU;56;22;38,94;119;44;36,97;125;52;41,60;65;14;21,54;365;132;36,11;
CE;CAUCAIA;231240 - SAO GONCALO DO AMARANTE;208;172;82,69;441;387;87,76;469;369;78,68;244;102;41,80;1362;1030;75,62;
CE;CAUCAIA;;2759;927;33,60;5837;1698;29,09;6191;1900;30,69;3209;821;25,58;17996;5346;29,71;
CE;CRATEUS;230410 - CRATEUS;309;191;61,71;642;304;47,35;666;543;81,53;342;254;74,27;1959;1292;65,94;
CE;CRATEUS;231100 - PORANGA;61;126;206,56;132;130;98,48;142;125;88,03;74;38;51,01;409;419;102,32;
CE;CRATEUS;230125 - ARARENDA;53;26;48,60;110;104;94,55;113;96;84,96;56;30;53,10;333;256;76,88;
CE;CRATEUS;230590 - IPUEIRAS;203;201;98,77;428;421;98,36;451;422;93,57;231;82;35,42;1314;1126;85,69;
CE;CRATEUS;231320 - TAMBORIL;120;30;24,90;254;57;22,44;268;65;24,25;138;45;32,49;781;197;25,22;
CE;CRATEUS;230565 - IPAPORANGA;53;25;47,17;115;64;55,65;125;75;60,00;65;8;12,21;358;172;47,98;
CE;CRATEUS;230930 - NOVA RUSSAS;145;198;136,55;303;239;78,88;315;205;65,08;162;30;18,52;925;672;72,65;
CE;CRATEUS;230940 - NOVO ORIENTE;133;118;88,39;289;189;65,40;313;210;67,09;163;30;18,35;899;547;60,85;
CE;CRATEUS;230560 - INDEPENDENCIA;112;21;18,75;238;102;42,86;254;101;39,76;131;32;24,33;735;256;34,81;
CE;CRATEUS;231126 - QUITERIANOPOLIS;94;95;101,06;199;154;77,39;212;127;59,91;109;44;40,18;614;420;68,35;
CE;CRATEUS;230860 - MONSENHOR TABOSA;84;42;49,70;178;109;61,24;188;121;64,36;97;33;34,02;547;305;55,71;
CE;CRATEUS;;1370;1073;78,32;2888;1873;64,85;3047;2090;68,59;1572;626;39,82;8877;5662;63,78;
CE;QUIXADA;230393 - CHORO;64;49;75,97;138;138;100,00;147;86;58,50;77;21;27,10;427;294;68,85;
CE;QUIXADA;230835 - MILHA;55;21;37,84;112;42;37,50;111;92;82,88;56;1;1,77;335;156;46,57;
CE;QUIXADA;231130 - QUIXADA;368;269;73,00;775;571;73,68;818;637;77,87;425;513;120,56;2387;1990;83,37;
CE;QUIXADA;230185 - BANABUIU;90;88;97,24;193;132;68,39;206;143;69,42;107;80;74,42;597;443;74,20;
CE;QUIXADA;230526 - IBARETAMA;67;19;28,36;141;40;28,37;149;42;28,19;76;28;36,60;433;129;29,76;
CE;QUIXADA;231300 - SOLONOPOLE;75;39;51,66;156;103;66,03;160;90;56,25;81;24;29,45;473;256;54,12;
CE;QUIXADA;230533 - IBICUITINGA;50;87;174,00;104;92;88,46;109;97;88,99;56;3;5,36;319;279;87,46;
CE;QUIXADA;231050 - PEDRA BRANCA;198;117;58,94;425;244;57,41;457;309;67,61;238;44;18,45;1319;714;54,13;
CE;QUIXADA;231140 - QUIXERAMOBIM;330;267;80,91;681;481;70,63;702;532;75,78;361;288;79,67;2074;1568;75,58;
CE;QUIXADA;231270 - SENADOR POMPEU;113;45;39,65;238;99;41,60;249;93;37,35;128;43;33,59;728;280;38,44;
CE;QUIXADA;;1413;1001;70,82;2963;1942;65,54;3108;2121;68,24;1609;1045;64,95;9093;6109;67,18;
CE;TIANGUA;230423 - CROATA;92;79;85,87;198;143;72,22;213;139;65,26;111;25;22,42;614;386;62,82;
CE;TIANGUA;231340 - TIANGUA;350;346;98,86;722;634;87,81;746;567;76,01;382;258;67,45;2200;1805;82,03;
CE;TIANGUA;231360 - UBAJARA;154;155;100,32;318;348;109,43;328;366;111,59;167;109;65,07;968;978;101,03;
CE;TIANGUA;230530 - IBIAPINA;112;81;72,00;241;155;64,32;259;186;71,81;136;60;43,96;749;482;64,35;
CE;TIANGUA;230340 - CARNAUBAL;90;66;72,93;191;124;64,92;201;158;78,61;103;20;19,42;585;368;62,85;
CE;TIANGUA;231230 - SAO BENEDITO;226;156;68,87;476;220;46,22;502;302;60,16;259;76;29,29;1464;754;51,50;
CE;TIANGUA;231410 - VICOSA DO CEARA;307;215;70,03;651;500;76,80;689;533;77,36;357;78;21,82;2004;1326;66,15;
CE;TIANGUA;230500 - GUARACIABA DO NORTE;208;336;161,15;437;350;80,09;457;366;80,09;234;202;86,14;1337;1254;93,79;
CE;TIANGUA;;1541;1434;93,03;3234;2474;76,50;3395;2617;77,08;1752;828;47,25;9923;7353;74,10;
CE;BATURITE;230980 - PACOTI;57;55;96,49;120;85;70,83;126;94;74,60;64;34;52,71;367;268;72,93;
CE;BATURITE;230140 - ARATUBA;58;78;134,48;125;117;93,60;135;131;97,04;71;107;150,70;389;433;111,31;
CE;BATURITE;230910 - MULUNGU;61;4;6,56;126;5;3,97;131;30;22,90;66;5;7,52;384;44;11,44;
CE;BATURITE;230210 - BATURITE;159;109;68,34;336;118;35,12;356;106;29,78;184;38;20,65;1035;371;35,83;
CE;BATURITE;230650 - ITAPIUNA;90;23;25,41;188;98;52,13;196;97;49,49;101;20;19,70;576;238;41,32;
CE;BATURITE;230120 - ARACOIABA;119;50;42,02;253;116;45,85;268;156;58,21;139;65;46,59;779;387;49,65;
CE;BATURITE;230290 - CAPISTRANO;75;35;46,36;161;74;45,96;173;63;36,42;91;22;24,18;500;194;38,76;
CE;BATURITE;230510 - GUARAMIRANGA;19;50;263,16;43;42;97,67;48;46;95,83;25;18;70,59;135;156;115,13;
CE;BATURITE;;639;404;63,17;1352;655;48,45;1433;723;50,45;743;309;41,56;4168;2091;50,17;
CE;FORTALEZA;230945 - OCARA;110;99;90,00;232;172;74,14;245;155;63,27;127;61;47,84;714;487;68,16;
CE;FORTALEZA;230100 - AQUIRAZ;329;208;63,22;698;353;50,57;743;388;52,22;386;140;36,22;2156;1089;50,50;
CE;FORTALEZA;230428 - EUSEBIO;225;151;66,96;476;405;85,08;505;474;93,86;261;150;57,47;1467;1180;80,41;
CE;FORTALEZA;230960 - PACAJUS;299;89;29,77;635;226;35,59;676;215;31,80;351;149;42,45;1961;679;34,63;
CE;FORTALEZA;230350 - CASCAVEL;295;205;69,49;625;399;63,84;664;531;79,97;345;258;74,67;1929;1393;72,19;
CE;FORTALEZA;230440 - FORTALEZA;9447;2875;30,43;19678;5147;26,16;20571;9077;44,13;10653;7693;72,21;60350;24792;41,08;
CE;FORTALEZA;230523 - HORIZONTE;271;95;34,99;568;206;36,27;597;216;36,18;308;121;39,29;1744;638;36,57;
CE;FORTALEZA;230625 - ITAITINGA;163;26;15,95;351;58;16,52;380;55;14,47;199;48;24,06;1093;187;17,10;
CE;FORTALEZA;230395 - CHOROZINHO;81;47;58,02;176;106;60,23;191;134;70,16;101;76;75,25;549;363;66,12;
CE;FORTALEZA;231085 - PINDORETAMA;79;78;98,73;167;126;75,45;178;125;70,22;93;41;43,85;517;370;71,50;
CE;FORTALEZA;;11300;3873;34,27;23606;7198;30,49;24750;11370;45,94;12827;8737;68,11;72483;31178;43,01;
CE;ITAPIPOCA;231350 - TRAIRI;258;92;35,66;553;229;41,41;593;278;46,88;310;114;36,77;1714;713;41,60;
CE;ITAPIPOCA;231355 - TURURU;68;58;84,67;145;86;59,31;153;93;60,78;79;34;42,77;446;271;60,76;
CE;ITAPIPOCA;231375 - UMIRIM;97;22;22,56;206;34;16,50;218;34;15,60;112;14;12,50;633;104;16,42;
CE;ITAPIPOCA;230837 - MIRAIMA;70;21;30,00;148;24;16,22;157;41;26,11;81;13;15,95;456;99;21,69;
CE;ITAPIPOCA;230075 - AMONTADA;218;67;30,66;455;119;26,15;473;102;21,56;242;105;43,30;1389;393;28,29;
CE;ITAPIPOCA;230640 - ITAPIPOCA;598;135;22,58;1237;647;52,30;1282;429;33,46;656;162;24,70;3773;1373;36,39;
CE;ITAPIPOCA;231380 - URUBURETAMA;103;11;10,63;215;87;40,47;223;5;2,24;114;7;6,14;655;110;16,78;
CE;ITAPIPOCA;;1414;406;28,71;2959;1226;41,43;3099;982;31,69;1595;449;28,14;9067;3063;33,78;
CE;MARACANAU;230015 - ACARAPE;73;37;50,34;155;99;63,87;163;103;63,19;85;36;42,35;476;275;57,71;
CE;MARACANAU;230495 - GUAIUBA;122;10;8,20;255;15;5,88;267;27;10,11;138;46;33,33;782;98;12,53;
CE;MARACANAU;230195 - BARREIRA;92;57;61,62;203;92;45,32;223;88;39,46;118;24;20,34;636;261;41,01;
CE;MARACANAU;230970 - PACATUBA;343;110;32,02;710;329;46,34;737;453;61,47;377;285;75,60;2167;1177;54,30;
CE;MARACANAU;231010 - PALMACIA;58;12;20,51;128;30;23,44;140;40;28,57;74;46;62,16;400;128;31,96;
CE;MARACANAU;231160 - REDENCAO;121;82;67,49;260;129;49,62;279;149;53,41;145;67;46,05;806;427;52,98;
CE;MARACANAU;230765 - MARACANAU;898;387;43,07;1890;635;33,60;1998;1170;58,56;1039;616;59,29;5825;2808;48,20;
CE;MARACANAU;230770 - MARANGUAPE;511;449;87,78;1076;584;54,28;1135;596;52,51;589;250;42,41;3312;1879;56,73;
CE;MARACANAU;;2221;1144;51,50;4677;1913;40,90;4942;2626;53,14;2566;1370;53,39;14406;7053;48,96;
CE;BREJO SANTO;230720 - JATI;33;34;103,03;67;61;91,04;69;40;57,97;35;6;16,90;204;141;68,95;
CE;BREJO SANTO;230200 - BARRO;91;35;38,25;192;62;32,29;201;55;27,36;104;35;33,49;589;187;31,75;
CE;BREJO SANTO;230170 - AURORA;112;71;63,39;238;114;47,90;253;190;75,10;131;71;53,99;734;446;60,72;
CE;BREJO SANTO;230010 - ABAIARA;52;23;43,81;110;50;45,45;117;43;36,75;60;17;28,33;339;133;39,18;
CE;BREJO SANTO;230810 - MAURITI;214;66;30,84;453;123;27,15;480;192;40,00;249;279;111,82;1396;660;47,26;
CE;BREJO SANTO;230830 - MILAGRES;126;193;152,57;263;234;88,97;276;271;98,19;141;258;182,33;807;956;118,46;
CE;BREJO SANTO;231060 - PENAFORTE;38;70;184,21;77;90;116,88;79;75;94,94;41;5;12,20;235;240;102,13;
CE;BREJO SANTO;231110 - PORTEIRAS;63;79;124,41;134;124;92,54;141;106;75,18;73;22;29,93;412;331;80,34;
CE;BREJO SANTO;230250 - BREJO SANTO;197;193;97,72;413;397;96,13;435;418;96,09;225;216;96,00;1270;1224;96,34;
CE;BREJO SANTO;;928;764;82,28;1947;1255;64,46;2051;1390;67,77;1062;909;85,59;5988;4318;72,10;
CE;JUAZEIRO DO NORTE;230710 - JARDIM;131;70;53,44;268;152;56,72;275;126;45,82;139;30;21,51;813;378;46,47;
CE;JUAZEIRO DO NORTE;230190 - BARBALHA;251;83;33,07;521;205;39,35;543;322;59,30;278;141;50,72;1593;751;47,14;
CE;JUAZEIRO DO NORTE;230320 - CARIRIACU;143;86;59,93;310;213;68,71;336;219;65,18;175;66;37,71;964;584;60,55;
CE;JUAZEIRO DO NORTE;230480 - GRANJEIRO;22;28;124,44;47;47;100,00;48;39;81,25;25;28;112,00;142;142;99,65;
CE;JUAZEIRO DO NORTE;230840 - MISSAO VELHA;164;88;53,50;338;187;55,33;349;209;59,89;179;71;39,66;1030;555;53,86;
CE;JUAZEIRO DO NORTE;230730 - JUAZEIRO DO NORTE;1135;363;31,97;2400;751;31,29;2552;902;35,34;1323;606;45,79;7411;2622;35,38;
CE;JUAZEIRO DO NORTE;;1848;718;38,85;3884;1555;40,04;4103;1817;44,28;2120;942;44,43;11955;5032;42,09;
CE;LIMOEIRO DO NORTE;230427 - ERERE;30;20;66,67;64;56;87,50;69;45;65,22;35;11;30,99;198;132;66,50;
CE;LIMOEIRO DO NORTE;230600 - IRACEMA;59;47;79,66;122;78;63,93;126;104;82,54;64;17;26,36;371;246;66,22;
CE;LIMOEIRO DO NORTE;231080 - PEREIRO;80;47;58,39;173;90;52,02;187;112;59,89;96;30;31,09;537;279;51,96;
CE;LIMOEIRO DO NORTE;231150 - QUIXERE;91;42;45,90;187;98;52,41;191;154;80,63;98;24;24,49;567;318;56,04;
CE;LIMOEIRO DO NORTE;230690 - JAGUARIBE;151;155;102,65;318;290;91,19;336;277;82,44;173;143;82,42;978;865;88,40;
CE;LIMOEIRO DO NORTE;230070 - ALTO SANTO;73;72;97,96;145;140;96,55;140;141;100,71;69;76;109,35;428;429;100,23;
CE;LIMOEIRO DO NORTE;231123 - POTIRETAMA;28;25;89,29;56;36;64,29;57;29;50,88;28;5;17,54;169;95;56,05;
CE;LIMOEIRO DO NORTE;230680 - JAGUARIBARA;43;41;94,25;91;56;61,54;94;121;128,72;48;27;55,67;277;245;88,45;
CE;LIMOEIRO DO NORTE;230760 - LIMOEIRO DO NORTE;227;180;79,12;480;311;64,79;506;358;70,75;261;84;32,12;1475;933;63,25;
CE;LIMOEIRO DO NORTE;231310 - TABULEIRO DO NORTE;122;186;151,84;261;200;76,63;279;250;89,61;145;22;15,17;807;658;81,49;
CE;LIMOEIRO DO NORTE;231250 - SAO JOAO DO JAGUARIBE;29;32;110,34;63;63;100,00;69;69;100,00;36;3;8,33;197;167;84,77;
CE;LIMOEIRO DO NORTE;;936;847;90,49;1960;1418;72,35;2054;1660;80,82;1057;442;41,82;6007;4367;72,70;
CE;;;37880;20998;55,43;79479;37648;47,37;83579;43757;52,35;43226;22109;51,15;244164;124512;51,00;
DF;REGIONAL UNICA;530010 - BRASILIA;10578;324;3,06;10803;359;3,32;0;0;0,00;0;0;0,00;21381;683;3,19;
DF;REGIONAL UNICA;;10578;324;3,06;10803;359;3,32;0;0;0,00;0;0;0,00;21381;683;3,19;
DF;;;10578;324;3,06;10803;359;3,32;0;0;0,00;0;0;0,00;21381;683;3,19;
ES;CENTRO VITORIA;320420 - PIUMA;75;22;29,33;158;49;31,01;167;80;47,90;86;49;56,98;486;200;41,15;
ES;CENTRO VITORIA;320500 - SERRA;1775;761;42,86;3678;1755;47,72;3832;2083;54,36;1959;812;41,44;11245;5411;48,12;
ES;CENTRO VITORIA;320510 - VIANA;279;61;21,82;571;88;15,41;585;182;31,11;296;115;38,85;1731;446;25,76;
ES;CENTRO VITORIA;320220 - FUNDAO;73;39;53,42;151;110;72,85;157;60;38,22;80;24;29,81;461;233;50,49;
ES;CENTRO VITORIA;320245 - IBATIBA;100;67;66,67;208;119;57,21;216;112;51,85;109;12;10,96;634;310;48,90;
ES;CENTRO VITORIA;320290 - ITARANA;42;18;42,86;86;34;39,53;88;67;76,14;44;20;45,45;260;139;53,46;
ES;CENTRO VITORIA;320530 - VITORIA;1056;1032;97,68;2210;2402;108,69;2325;2814;121,03;1207;643;53,27;6798;6891;101,36;
ES;CENTRO VITORIA;320040 - ANCHIETA;95;47;49,21;196;193;98,47;202;173;85,64;102;47;45,85;596;460;77,18;
ES;CENTRO VITORIA;320270 - ITAGUACU;48;38;78,35;99;72;72,73;100;105;105,00;51;17;33,33;298;232;77,72;
ES;CENTRO VITORIA;320115 - BREJETUBA;59;38;64,41;121;63;52,07;125;84;67,20;63;39;61,42;368;224;60,79;
ES;CENTRO VITORIA;320130 - CARIACICA;1438;370;25,72;2982;937;31,42;3105;1080;34,78;1589;323;20,33;9114;2710;29,73;
ES;CENTRO VITORIA;320240 - GUARAPARI;445;132;29,63;928;313;33,73;968;463;47,83;495;183;36,97;2836;1091;38,46;
ES;CENTRO VITORIA;320520 - VILA VELHA;1504;1133;75,31;3104;1730;55,73;3212;1971;61,36;1646;1282;77,89;9466;6116;64,61;
ES;CENTRO VITORIA;320460 - SANTA TERESA;81;42;51,53;171;104;60,82;179;161;89,94;92;31;33,70;523;338;64,57;
ES;CENTRO VITORIA;320010 - AFONSO CLAUDIO;117;73;62,39;240;145;60,42;247;189;76,52;126;42;33,33;730;449;61,51;
ES;CENTRO VITORIA;320030 - ALFREDO CHAVES;48;31;64,58;98;93;94,90;100;95;95,00;51;21;41,18;297;240;80,81;
ES;CENTRO VITORIA;320190 - DOMINGOS MARTINS;129;138;106,56;269;259;96,28;279;266;95,34;142;61;42,81;820;724;88,29;
ES;CENTRO VITORIA;320316 - LARANJA DA TERRA;36;3;8,22;76;26;34,21;78;66;84,62;40;16;40,00;230;111;48,16;
ES;CENTRO VITORIA;320450 - SANTA LEOPOLDINA;46;42;91,30;92;57;61,96;93;66;70,97;47;21;44,68;278;186;66,91;
ES;CENTRO VITORIA;320334 - MARECHAL FLORIANO;55;50;90,09;114;88;77,19;118;144;122,03;60;20;33,06;348;302;86,78;
ES;CENTRO VITORIA;320170 - CONCEICAO DO CASTELO;48;38;78,35;99;91;91,92;102;86;84,31;51;19;36,89;301;234;77,74;
ES;CENTRO VITORIA;320455 - SANTA MARIA DE JETIBA;142;91;64,08;294;208;70,75;306;295;96,41;157;68;43,31;899;662;73,64;
ES;CENTRO VITORIA;320506 - VENDA NOVA DO IMIGRANTE;77;63;81,82;157;131;83,44;159;169;106,29;81;32;39,51;474;395;83,33;
ES;CENTRO VITORIA;;7775;4329;55,68;16102;9067;56,31;16743;10811;64,57;8578;3897;45,43;49198;28104;57,12;
ES;CACHOEIRO DE ITAPEMIRIM;320300 - IUNA;117;53;45,11;242;148;61,16;250;105;42,00;127;45;35,43;736;351;47,66;
ES;CACHOEIRO DE ITAPEMIRIM;320265 - IRUPI;54;28;51,85;113;79;69,91;120;103;85,83;61;36;58,54;348;246;70,59;
ES;CACHOEIRO DE ITAPEMIRIM;320380 - MUQUI;52;23;44,23;108;119;110,19;112;26;23,21;58;51;87,93;330;219;66,36;
ES;CACHOEIRO DE ITAPEMIRIM;320020 - ALEGRE;111;63;56,50;231;108;46,75;238;151;63,45;122;43;35,10;703;365;51,92;
ES;CACHOEIRO DE ITAPEMIRIM;320050 - APIACA;27;9;32,73;58;26;44,83;61;27;44,26;31;16;50,79;178;78;43,82;
ES;CACHOEIRO DE ITAPEMIRIM;320230 - GUACUI;116;82;70,69;234;144;61,54;234;148;63,25;118;55;46,61;702;429;61,11;
ES;CACHOEIRO DE ITAPEMIRIM;320260 - ICONHA;38;38;98,70;81;87;107,41;85;108;127,06;44;20;45,45;248;253;101,81;
ES;CACHOEIRO DE ITAPEMIRIM;320140 - CASTELO;122;103;84,43;253;204;80,63;263;201;76,43;135;63;46,49;773;571;73,82;
ES;CACHOEIRO DE ITAPEMIRIM;320255 - IBITIRAMA;42;35;83,33;85;58;68,24;86;77;89,53;43;29;67,44;256;199;77,73;
ES;CACHOEIRO DE ITAPEMIRIM;320280 - ITAPEMIRIM;134;69;51,49;272;184;67,65;277;266;96,03;140;272;193,59;823;791;96,05;
ES;CACHOEIRO DE ITAPEMIRIM;320332 - MARATAIZES;141;46;32,62;294;117;39,80;307;143;46,58;157;123;78,10;899;429;47,69;
ES;CACHOEIRO DE ITAPEMIRIM;320503 - VARGEM ALTA;82;48;58,18;168;109;64,88;170;108;63,53;86;28;32,56;506;293;57,85;
ES;CACHOEIRO DE ITAPEMIRIM;320370 - MUNIZ FREIRE;80;62;77,02;169;133;78,70;178;166;93,26;91;25;27,47;518;386;74,45;
ES;CACHOEIRO DE ITAPEMIRIM;320340 - MIMOSO DO SUL;93;42;45,16;194;124;63,92;203;121;59,61;104;36;34,45;594;323;54,33;
ES;CACHOEIRO DE ITAPEMIRIM;320070 - ATILIO VIVACQUA;41;37;89,16;83;75;90,36;84;92;109,52;42;19;45,24;250;223;89,02;
ES;CACHOEIRO DE ITAPEMIRIM;320440 - RIO NOVO DO SUL;42;17;40,48;87;73;83,91;91;82;90,11;46;33;70,97;266;205;76,92;
ES;CACHOEIRO DE ITAPEMIRIM;320310 - JERONIMO MONTEIRO;42;33;78,57;88;71;80,68;92;69;75,00;48;35;72,92;270;208;77,04;
ES;CACHOEIRO DE ITAPEMIRIM;320110 - BOM JESUS DO NORTE;35;11;31,43;73;26;35,62;77;36;46,75;39;10;25,32;224;83;36,97;
ES;CACHOEIRO DE ITAPEMIRIM;320200 - DORES DO RIO PRETO;29;19;65,52;58;25;43,10;57;27;47,37;28;23;82,14;172;94;54,65;
ES;CACHOEIRO DE ITAPEMIRIM;320430 - PRESIDENTE KENNEDY;41;24;57,83;84;40;47,62;86;56;65,12;44;23;52,27;255;143;55,97;
ES;CACHOEIRO DE ITAPEMIRIM;320480 - SAO JOSE DO CALCADO;38;12;31,17;80;13;16,25;84;49;58,33;43;36;83,72;245;110;44,81;
ES;CACHOEIRO DE ITAPEMIRIM;320180 - DIVINO DE SAO LOURENCO;18;16;88,89;37;14;37,84;38;24;63,16;19;12;63,16;112;66;58,93;
