Estratégia de Vacinação contra HPV - 2015
Coberturas vacinais - HPV Quadrivalente D2 - CSV - Sexo feminino de 9 a 12 anos de idade
UF;REGIONAL;NOM_MUN;09A-POP;09A-DOS;09A-COB;10A-POP;10A-DOS;10A-COB;11A-POP;11A-DOS;11A-COB;12A-POP;12A-DOS;12A-COB;TOT-POP-09-12;TOT-DOS-09-12;TOT-COB-09-12
SP;GVE - X OSASCO;;11396;9247;81,14;23725;20588;86,78;24815;17225;69,41;12713;7734;60,84;72649;54794;75,42;
SP;GVE - XV BAURU;352530 - JAU;450;372;82,57;928;656;70,69;958;515;53,76;490;114;23,24;2827;1657;58,61;
SP;GVE - XV BAURU;355590 - URU;4;5;125,00;8;19;237,50;9;4;44,44;4;0;0,00;25;28;112,00;
SP;GVE - XV BAURU;350430 - AVAI;19;2;10,53;39;6;15,38;39;13;33,33;20;3;14,63;117;24;20,43;
SP;GVE - XV BAURU;352710 - LINS;235;169;71,91;494;367;74,29;523;294;56,21;270;56;20,70;1522;886;58,19;
SP;GVE - XV BAURU;350600 - BAURU;1184;306;25,83;2456;687;27,97;2555;860;33,66;1311;259;19,76;7506;2112;28,14;
SP;GVE - XV BAURU;352200 - ITAJU;12;13;108,33;26;37;142,31;27;28;103,70;13;2;14,81;78;80;101,91;
SP;GVE - XV BAURU;350070 - AGUDOS;130;92;70,50;273;150;54,95;286;84;29,37;148;17;11,49;837;343;40,96;
SP;GVE - XV BAURU;350520 - BARIRI;116;54;46,55;244;156;63,93;258;148;57,36;132;101;76,23;750;459;61,16;
SP;GVE - XV BAURU;350745 - BOREBI;9;19;211,11;20;20;100,00;21;31;147,62;11;13;118,18;61;83;136,07;
SP;GVE - XV BAURU;350790 - BROTAS;84;27;31,95;177;147;83,05;186;142;76,34;96;18;18,75;543;334;61,45;
SP;GVE - XV BAURU;352290 - ITAPUI;43;105;241,38;87;148;170,11;86;130;151,16;43;8;18,39;260;391;150,38;
SP;GVE - XV BAURU;354010 - PONGAI;9;13;136,84;21;28;133,33;23;24;104,35;12;4;33,33;65;69;105,34;
SP;GVE - XV BAURU;354460 - SABINO;17;3;17,65;35;3;8,57;36;0;0,00;18;8;43,24;106;14;13,15;
SP;GVE - XV BAURU;350340 - AREALVA;27;29;105,45;57;53;92,98;58;46;79,31;29;2;6,78;172;130;75,58;
SP;GVE - XV BAURU;350680 - BOCAINA;41;10;24,10;87;39;44,83;90;36;40,00;46;15;32,26;265;100;37,74;
SP;GVE - XV BAURU;351910 - IACANGA;37;40;108,11;76;73;96,05;78;62;79,49;39;15;37,97;230;190;82,43;
SP;GVE - XV BAURU;353890 - PIRAJUI;66;49;74,24;138;119;86,23;144;141;97,92;75;51;68,00;423;360;85,11;
SP;GVE - XV BAURU;350470 - BALBINOS;5;13;260,00;11;16;145,45;10;1;10,00;5;10;200,00;31;40;129,03;
SP;GVE - XV BAURU;350730 - BORACEIA;16;5;31,25;33;29;87,88;35;23;65,71;18;3;16,67;102;60;58,82;
SP;GVE - XV BAURU;351450 - DUARTINA;40;52;130,00;80;69;86,25;79;101;127,85;40;4;10,00;239;226;94,56;
SP;GVE - XV BAURU;351700 - GETULINA;39;14;35,90;81;50;61,73;86;33;38,37;44;10;22,73;250;107;42,80;
SP;GVE - XV BAURU;351720 - GUAICARA;41;25;60,24;89;83;93,26;96;58;60,42;50;19;38,00;276;185;66,91;
SP;GVE - XV BAURU;352800 - MACATUBA;61;44;71,54;127;92;72,44;130;101;77,69;66;10;15,15;384;247;64,24;
SP;GVE - XV BAURU;355470 - TORRINHA;29;16;54,24;62;47;75,81;65;46;70,77;34;8;23,53;190;117;61,42;
SP;GVE - XV BAURU;354160 - PROMISSAO;136;23;16,91;275;59;21,45;276;172;62,32;140;73;52,14;827;327;39,54;
SP;GVE - XV BAURU;350880 - CAFELANDIA;55;52;94,55;115;58;50,43;122;57;46,72;63;10;15,75;355;177;49,79;
SP;GVE - XV BAURU;353657 - PAULISTANIA;8;7;87,50;17;14;82,35;18;18;100,00;9;7;77,78;52;46;88,46;
SP;GVE - XV BAURU;353670 - PEDERNEIRAS;161;87;53,87;336;291;86,61;350;187;53,43;180;66;36,57;1028;631;61,38;
SP;GVE - XV BAURU;353940 - PIRATININGA;44;40;89,89;93;72;77,42;96;70;72,92;49;9;18,37;282;191;67,61;
SP;GVE - XV BAURU;354250 - REGINOPOLIS;20;37;185,00;38;75;197,37;35;67;191,43;17;11;64,71;110;190;172,73;
SP;GVE - XV BAURU;350530 - BARRA BONITA;108;34;31,34;231;47;20,35;247;125;50,61;129;17;13,18;715;223;31,17;
SP;GVE - XV BAURU;352750 - LUCIANOPOLIS;9;6;63,16;20;21;105,00;20;16;80,00;10;1;9,52;60;44;73,33;
SP;GVE - XV BAURU;351410 - DOIS CORREGOS;91;41;45,05;187;102;54,55;195;51;26,15;100;20;20,00;573;214;37,35;
SP;GVE - XV BAURU;352000 - IGARACU DO TIETE;85;65;76,47;178;106;59,55;188;123;65,43;97;22;22,68;548;316;57,66;
SP;GVE - XV BAURU;352680 - LENCOIS PAULISTA;242;60;24,74;503;138;27,44;523;202;38,62;267;73;27,29;1536;473;30,79;
SP;GVE - XV BAURU;354110 - PRESIDENTE ALVES;13;5;38,46;29;13;44,83;33;13;39,39;18;2;11,11;93;33;35,48;
SP;GVE - XV BAURU;350830 - CABRALIA PAULISTA;15;19;126,67;32;36;112,50;32;20;62,50;17;7;41,18;96;82;85,42;
SP;GVE - XV BAURU;352980 - MINEIROS DO TIETE;46;24;51,61;97;58;59,79;101;3;2,97;52;7;13,33;297;92;30,98;
SP;GVE - XV BAURU;;3755;1977;52,64;7800;4184;53,64;8114;4045;49,85;4169;1075;25,78;23839;11281;47,32;
SP;GVE - I CAPITAL;355030 - SAO PAULO;40122;24551;61,19;83244;54887;65,94;86844;50608;58,27;44439;20632;46,43;254649;150678;59,17;
SP;GVE - I CAPITAL;;40122;24551;61,19;83244;54887;65,94;86844;50608;58,27;44439;20632;46,43;254649;150678;59,17;
SP;GVE - XXX JALES;352480 - JALES;137;36;26,18;294;107;36,39;317;145;45,74;166;29;17,42;915;317;34,64;
SP;GVE - XXX JALES;355580 - URANIA;27;29;105,45;57;68;119,30;59;81;137,29;30;14;45,90;174;192;110,34;
SP;GVE - XXX JALES;350395 - ASPASIA;5;7;127,27;11;9;81,82;12;10;83,33;6;2;30,77;35;28;80,00;
SP;GVE - XXX JALES;353475 - OUROESTE;30;19;62,30;66;51;77,27;72;55;76,39;37;36;96,00;206;161;78,16;
SP;GVE - XXX JALES;354040 - POPULINA;12;4;32,00;25;10;40,00;24;18;75,00;12;36;300,00;73;68;92,52;
SP;GVE - XXX JALES;354450 - RUBINEIA;9;13;144,44;20;9;45,00;22;6;27,27;11;0;0,00;62;28;44,80;
SP;GVE - XXX JALES;352070 - INDIAPORA;12;2;16,67;25;11;44,00;26;17;65,38;13;3;22,22;76;33;43,14;
SP;GVE - XXX JALES;352820 - MACEDONIA;11;12;104,35;23;35;152,17;24;17;70,83;12;4;33,33;70;68;96,45;
SP;GVE - XXX JALES;352960 - MERIDIANO;12;10;80,00;27;15;55,56;28;1;3,57;14;0;0,00;82;26;31,71;
