Estratégia de Vacinação contra HPV - 2015
Coberturas vacinais - HPV Quadrivalente D1 - CSV - Sexo feminino de 9 a 11 anos de idade 
UF;REGIONAL;NOM_MUN;09A-POP;09A-DOS;09A-COB;10A-POP;10A-DOS;10A-COB;11A-POP;11A-DOS;11A-COB;TOT-POP-09-11;TOT-DOS-09-11;TOT-COB-09-11
GO;SUDOESTE I;521225 - LAGOA SANTA;11;11;100,00;11;7;63,64;11;5;45,45;33;23;69,70;
GO;SUDOESTE I;521300 - MAURILANDIA;105;88;83,81;106;76;71,70;108;39;36,11;319;203;63,64;
GO;SUDOESTE I;522155 - TURVELANDIA;37;35;94,59;37;32;86,49;36;22;61,11;110;89;80,91;
GO;SUDOESTE I;521630 - PARANAIGUARA;71;93;130,99;73;70;95,89;75;57;76,00;219;220;100,46;
GO;SUDOESTE I;521850 - QUIRINOPOLIS;316;130;41,14;319;120;37,62;322;82;25,47;957;332;34,69;
GO;SUDOESTE I;520410 - CACHOEIRA ALTA;71;92;129,58;73;76;104,11;76;45;59,21;220;213;96,82;
GO;SUDOESTE I;520145 - APARECIDA DO RIO DOCE;18;38;211,11;18;30;166,67;18;15;83,33;54;83;153,70;
GO;SUDOESTE I;521930 - SANTA HELENA DE GOIAS;277;316;114,08;280;280;100,00;282;192;68,09;839;788;93,92;
GO;SUDOESTE I;521971 - SANTO ANTONIO DA BARRA;39;34;87,18;41;41;100,00;41;10;24,39;121;85;70,25;
GO;SUDOESTE I;;2971;2859;96,23;3030;2259;74,55;3100;1438;46,39;9101;6556;72,04;
GO;ENTORNO SUL;521250 - LUZIANIA;1804;1189;65,91;1838;960;52,23;1874;618;32,98;5516;2767;50,16;
GO;ENTORNO SUL;521523 - NOVO GAMA;1027;733;71,37;1052;549;52,19;1080;471;43,61;3159;1753;55,49;
GO;ENTORNO SUL;520620 - CRISTALINA;472;398;84,32;480;313;65,21;489;286;58,49;1441;997;69,19;
GO;ENTORNO SUL;520549 - CIDADE OCIDENTAL;570;377;66,14;582;334;57,39;597;344;57,62;1749;1055;60,32;
GO;ENTORNO SUL;522185 - VALPARAISO DE GOIAS;1315;936;71,18;1348;815;60,46;1388;566;40,78;4051;2317;57,20;
GO;ENTORNO SUL;520025 - AGUAS LINDAS DE GOIAS;1838;1271;69,15;1887;1153;61,10;1942;746;38,41;5667;3170;55,94;
GO;ENTORNO SUL;521975 - SANTO ANTONIO DO DESCOBERTO;685;435;63,50;689;454;65,89;693;209;30,16;2067;1098;53,12;
GO;ENTORNO SUL;;7711;5339;69,24;7876;4578;58,13;8063;3240;40,18;23650;13157;55,63;
GO;NORDESTE II;521830 - POSSE;310;294;94,84;320;251;78,44;330;153;46,36;960;698;72,71;
GO;NORDESTE II;521270 - MAMBAI;79;62;78,48;79;35;44,30;78;47;60,26;236;144;61,02;
GO;NORDESTE II;520990 - IACIARA;127;101;79,53;127;79;62,20;128;56;43,75;382;236;61,78;
GO;NORDESTE II;521490 - NOVA ROMA;30;45;150,00;32;29;90,63;34;16;47,06;96;90;93,75;
GO;NORDESTE II;522068 - SIMOLANDIA;65;75;115,38;64;46;71,88;62;15;24,19;191;136;71,20;
GO;NORDESTE II;520670 - DAMIANOPOLIS;26;30;115,38;27;28;103,70;27;13;48,15;80;71;88,75;
GO;NORDESTE II;521980 - SAO DOMINGOS;114;0;0;117;0;0;120;0;0;351;0;0;
GO;NORDESTE II;520396 - BURITINOPOLIS;31;25;80,65;30;6;20,00;30;2;6,67;91;33;36,26;
GO;NORDESTE II;522070 - SITIO D'ABADIA;27;9;33,33;29;13;44,83;32;7;21,88;88;29;32,95;
GO;NORDESTE II;520940 - GUARANI DE GOIAS;38;27;71,05;40;14;35,00;42;10;23,81;120;51;42,50;
GO;NORDESTE II;520080 - ALVORADA DO NORTE;84;38;45,24;85;19;22,35;86;20;23,26;255;77;30,20;
GO;NORDESTE II;;931;706;75,83;950;520;54,74;969;339;34,98;2850;1565;54,91;
GO;SUDOESTE II;520150 - APORE;30;31;103,33;31;15;48,39;33;13;39,39;94;59;62,77;
GO;SUDOESTE II;521190 - JATAI;722;701;97,09;739;480;64,95;760;448;58,95;2221;1629;73,35;
GO;SUDOESTE II;521310 - MINEIROS;419;609;145,35;428;451;105,37;438;261;59,59;1285;1321;102,80;
GO;SUDOESTE II;520440 - CAIAPONIA;123;125;101,63;133;104;78,20;143;57;39,86;399;286;71,68;
GO;SUDOESTE II;521645 - PEROLANDIA;26;22;84,62;29;25;86,21;32;18;56,25;87;65;74,71;
GO;SUDOESTE II;520725 - DOVERLANDIA;62;47;75,81;64;45;70,31;65;20;30,77;191;112;58,64;
GO;SUDOESTE II;521810 - PORTELANDIA;35;31;88,57;35;24;68,57;34;22;64,71;104;77;74,04;
GO;SUDOESTE II;522050 - SERRANOPOLIS;61;51;83,61;63;39;61,90;64;31;48,44;188;121;64,36;
GO;SUDOESTE II;520547 - CHAPADAO DO CEU;68;72;105,88;67;71;105,97;65;64;98,46;200;207;103,50;
GO;SUDOESTE II;521940 - SANTA RITA DO ARAGUAIA;60;51;85,00;60;40;66,67;58;35;60,34;178;126;70,79;
GO;SUDOESTE II;;1606;1740;108,34;1649;1294;78,47;1692;969;57,27;4947;4003;80,92;
GO;RIO VERMELHO;520753 - FAINA;59;49;83,05;61;42;68,85;63;19;30,16;183;110;60,11;
GO;RIO VERMELHO;520890 - GOIAS;178;127;71,35;185;93;50,27;194;59;30,41;557;279;50,09;
GO;RIO VERMELHO;520250 - ARUANA;75;69;92,00;76;71;93,42;77;66;85,71;228;206;90,35;
GO;RIO VERMELHO;521220 - JUSSARA;152;132;86,84;161;143;88,82;170;91;53,53;483;366;75,78;
GO;RIO VERMELHO;520380 - BRITANIA;49;31;63,27;51;34;66,67;53;20;37,74;153;85;55,56;
GO;RIO VERMELHO;520929 - GUARAITA;18;32;177,78;19;18;94,74;19;5;26,32;56;55;98,21;
GO;RIO VERMELHO;520960 - HEITORAI;27;26;96,30;29;47;162,07;31;29;93,55;87;102;117,24;
GO;RIO VERMELHO;521040 - ITABERAI;278;376;135,25;283;262;92,58;287;155;54,01;848;793;93,51;
GO;RIO VERMELHO;520215 - ARAGUAPAZ;59;72;122,03;60;37;61,67;62;28;45,16;181;137;75,69;
GO;RIO VERMELHO;521295 - MATRINCHA;36;28;77,78;37;27;72,97;39;27;69,23;112;82;73,21;
GO;RIO VERMELHO;521100 - ITAPIRAPUA;59;15;25,42;64;24;37,50;68;26;38,24;191;65;34,03;
GO;RIO VERMELHO;521120 - ITAPURANGA;186;128;68,82;192;145;75,52;198;70;35,35;576;343;59,55;
GO;RIO VERMELHO;521390 - MOSSAMEDES;33;48;145,45;31;37;119,35;29;20;68,97;93;105;112,90;
GO;RIO VERMELHO;521400 - MOZARLANDIA;118;154;130,51;120;101;84,17;122;79;64,75;360;334;92,78;
GO;RIO VERMELHO;521483 - NOVA CRIXAS;101;136;134,65;106;92;86,79;113;64;56,64;320;292;91,25;
GO;RIO VERMELHO;521925 - SANTA FE DE GOIAS;42;45;107,14;43;35;81,40;44;12;27,27;129;92;71,32;
GO;RIO VERMELHO;520085 - AMERICANO DO BRASIL;47;43;91,49;49;47;95,92;52;22;42,31;148;112;75,68;
GO;RIO VERMELHO;;1517;1511;99,60;1567;1255;80,09;1621;792;48,86;4705;3558;75,62;
GO;SAO PATRICIO;520540 - CERES;148;61;41,22;154;81;52,60;159;65;40,88;461;207;44,90;
GO;SAO PATRICIO;520640 - CRIXAS;122;88;72,13;126;80;63,49;130;33;25,38;378;201;53,17;
GO;SAO PATRICIO;521860 - RIALMA;80;58;72,50;83;53;63,86;85;34;40,00;248;145;58,47;
GO;SAO PATRICIO;522170 - URUANA;97;111;114,43;101;110;108,91;105;89;84,76;303;310;102,31;
GO;SAO PATRICIO;521090 - ITAPACI;164;116;70,73;167;100;59,88;170;83;48,82;501;299;59,68;
GO;SAO PATRICIO;521180 - JARAGUA;376;251;66,76;382;245;64,14;387;206;53,23;1145;702;61,31;
GO;SAO PATRICIO;520945 - GUARINOS;16;21;131,25;16;12;75,00;16;7;43,75;48;40;83,33;
GO;SAO PATRICIO;521060 - ITAGUARU;37;58;156,76;37;40;108,11;38;20;52,63;112;118;105,36;
GO;SAO PATRICIO;522157 - UIRAPURU;28;17;60,71;29;17;58,62;29;19;65,52;86;53;61,63;
GO;SAO PATRICIO;520860 - GOIANESIA;484;517;106,82;505;525;103,96;528;360;68,18;1517;1402;92,42;
GO;SAO PATRICIO;521890 - RUBIATABA;145;217;149,66;153;205;133,99;160;136;85,00;458;558;121,83;
GO;SAO PATRICIO;520320 - BARRO ALTO;82;71;86,59;85;73;85,88;87;62;71,26;254;206;81,10;
GO;SAO PATRICIO;521870 - RIANAPOLIS;39;34;87,18;39;37;94,87;38;25;65,79;116;96;82,76;
GO;SAO PATRICIO;521486 - NOVA GLORIA;64;57;89,06;64;47;73,44;63;37;58,73;191;141;73,82;
GO;SAO PATRICIO;521470 - NOVA AMERICA;17;30;176,47;18;13;72,22;18;13;72,22;53;56;105,66;
GO;SAO PATRICIO;521935 - SANTA ISABEL;26;21;80,77;26;24;92,31;26;19;73,08;78;64;82,05;
GO;SAO PATRICIO;522028 - SAO PATRICIO;14;21;150,00;15;13;86,67;16;9;56,25;45;43;95,56;
GO;SAO PATRICIO;520495 - CAMPOS VERDES;38;40;105,26;41;33;80,49;45;24;53,33;124;97;78,23;
GO;SAO PATRICIO;522230 - VILA PROPICIO;52;48;92,31;51;33;64,71;49;32;65,31;152;113;74,34;
GO;SAO PATRICIO;521690 - PILAR DE GOIAS;20;2;10,00;20;1;5,00;21;0;0,00;61;3;4,92;
GO;SAO PATRICIO;521015 - IPIRANGA DE GOIAS;22;11;50,00;23;12;52,17;25;11;44,00;70;34;48,57;
GO;SAO PATRICIO;522015 - SAO LUIZ DO NORTE;45;28;62,22;46;25;54,35;48;12;25,00;139;65;46,76;
GO;SAO PATRICIO;520500 - CARMO DO RIO VERDE;73;70;95,89;74;59;79,73;74;22;29,73;221;151;68,33;
GO;SAO PATRICIO;521385 - MORRO AGUDO DE GOIAS;20;13;65,00;20;9;45,00;19;13;68,42;59;35;59,32;
GO;SAO PATRICIO;521970 - SANTA TEREZINHA DE GOIAS;80;72;90,00;82;69;84,15;85;41;48,24;247;182;73,68;
GO;SAO PATRICIO;521945 - SANTA RITA DO NOVO DESTINO;23;27;117,39;23;18;78,26;23;21;91,30;69;66;95,65;
GO;SAO PATRICIO;;2312;2060;89,10;2380;1934;81,26;2444;1393;57,00;7136;5387;75,49;
GO;ENTORNO NORTE;520800 - FORMOSA;961;1374;142,98;980;742;75,71;998;652;65,33;2939;2768;94,18;
GO;ENTORNO NORTE;522220 - VILA BOA;49;67;136,73;50;44;88,00;50;24;48,00;149;135;90,60;
GO;ENTORNO NORTE;520400 - CABECEIRAS;70;62;88,57;74;24;32,43;78;20;25,64;222;106;47,75;
GO;ENTORNO NORTE;521760 - PLANALTINA;846;387;45,74;886;312;35,21;930;156;16,77;2662;855;32,12;
GO;ENTORNO NORTE;520790 - FLORES DE GOIAS;126;121;96,03;129;89;68,99;134;47;35,07;389;257;66,07;
GO;ENTORNO NORTE;520017 - AGUA FRIA DE GOIAS;48;84;175,00;49;61;124,49;50;44;88,00;147;189;128,57;
GO;ENTORNO NORTE;522000 - SAO JOAO D'ALIANCA;118;43;36,44;118;26;22,03;117;29;24,79;353;98;27,76;
GO;ENTORNO NORTE;520060 - ALTO PARAISO DE GOIAS;73;53;72,60;75;44;58,67;77;30;38,96;225;127;56,44;
GO;ENTORNO NORTE;;2291;2191;95,64;2361;1342;56,84;2434;1002;41,17;7086;4535;64,00;
GO;MACRO GOIANIA;520160 - ARACU;24;34;141,67;27;20;74,07;29;14;48,28;80;68;85,00;
GO;MACRO GOIANIA;520920 - GUAPO;118;91;77,12;123;79;64,23;129;59;45,74;370;229;61,89;
GO;MACRO GOIANIA;521140 - ITAUCU;60;52;86,67;62;55;88,71;64;34;53,13;186;141;75,81;
GO;MACRO GOIANIA;520130 - ANICUNS;141;117;82,98;145;96;66,21;149;75;50,34;435;288;66,21;
GO;MACRO GOIANIA;520520 - CATURAI;37;72;194,59;38;48;126,32;38;13;34,21;113;133;117,70;
GO;MACRO GOIANIA;520870 - GOIANIA;9176;5412;58,98;9480;5110;53,90;9832;4082;41,52;28488;14604;51,26;
GO;MACRO GOIANIA;521000 - INHUMAS;354;194;54,80;366;174;47,54;378;106;28,04;1098;474;43,17;
GO;MACRO GOIANIA;521440 - NAZARIO;63;74;117,46;64;45;70,31;65;33;50,77;192;152;79,17;
GO;MACRO GOIANIA;520880 - GOIANIRA;323;435;134,67;334;372;111,38;347;316;91,07;1004;1123;111,85;
GO;MACRO GOIANIA;521056 - ITAGUARI;33;67;203,03;35;47;134,29;37;17;45,95;105;131;124,76;
GO;MACRO GOIANIA;522140 - TRINDADE;902;909;100,78;948;853;89,98;1000;848;84,80;2850;2610;91,58;
GO;MACRO GOIANIA;521205 - JESUPOLIS;17;19;111,76;17;15;88,24;17;8;47,06;51;42;82,35;
GO;MACRO GOIANIA;521450 - NEROPOLIS;199;90;45,23;205;99;48,29;212;100;47,17;616;289;46,92;
GO;MACRO GOIANIA;520680 - DAMOLANDIA;19;20;105,26;19;19;100,00;20;10;50,00;58;49;84,48;
GO;MACRO GOIANIA;521500 - NOVA VENEZA;64;71;110,94;64;75;117,19;63;35;55,56;191;181;94,76;
GO;MACRO GOIANIA;520280 - AVELINOPOLIS;18;23;127,78;19;16;84,21;20;11;55,00;57;50;87,72;
GO;MACRO GOIANIA;520360 - BRAZABRANTES;24;32;133,33;27;21;77,78;30;8;26,67;81;61;75,31;
GO;MACRO GOIANIA;520005 - ABADIA DE GOIAS;66;78;118,18;68;72;105,88;70;54;77,14;204;204;100,00;
GO;MACRO GOIANIA;522100 - TAQUARAL DE GOIAS;21;5;23,81;22;10;45,45;24;15;62,50;67;30;44,78;
GO;MACRO GOIANIA;520460 - CAMPESTRE DE GOIAS;28;30;107,14;30;27;90,00;32;25;78,13;90;82;91,11;
GO;MACRO GOIANIA;521680 - PETROLINA DE GOIAS;67;83;123,88;70;61;87,14;73;41;56,16;210;185;88,10;
GO;MACRO GOIANIA;521540 - OURO VERDE DE GOIAS;35;29;82,86;34;25;73,53;34;18;52,94;103;72;69,90;
GO;MACRO GOIANIA;521950 - SANTA ROSA DE GOIAS;20;45;225,00;21;21;100,00;22;22;100,00;63;88;139,68;
GO;MACRO GOIANIA;521910 - SANTA BARBARA DE GOIAS;45;56;124,44;46;36;78,26;48;24;50,00;139;116;83,45;
GO;MACRO GOIANIA;521973 - SANTO ANTONIO DE GOIAS;38;50;131,58;40;41;102,50;42;33;78,57;120;124;103,33;
GO;MACRO GOIANIA;521990 - SAO FRANCISCO DE GOIAS;47;21;44,68;51;5;9,80;56;2;3,57;154;28;18,18;
GO;MACRO GOIANIA;;11939;8109;67,92;12355;7442;60,23;12831;6003;46,79;37125;21554;58,06;
GO;SERRA DA MESA;522160 - URUACU;312;262;83,97;325;233;71,69;341;136;39,88;978;631;64,52;
GO;SERRA DA MESA;520082 - AMARALINA;30;13;43,33;30;20;66,67;30;7;23,33;90;40;44,44;
GO;SERRA DA MESA;520980 - HIDROLINA;30;23;76,67;32;21;65,63;36;14;38,89;98;58;59,18;
GO;SERRA DA MESA;521280 - MARA ROSA;83;83;100,00;86;60;69,77;89;26;29,21;258;169;65,50;
GO;SERRA DA MESA;520470 - CAMPINORTE;91;88;96,70;95;96;101,05;100;72;72,00;286;256;89,51;
GO;SERRA DA MESA;521460 - NIQUELANDIA;365;93;25,48;379;110;29,02;393;44;11,20;1137;247;21,72;
GO;SERRA DA MESA;520055 - ALTO HORIZONTE;41;61;148,78;42;44;104,76;43;34;79,07;126;139;110,32;
GO;SERRA DA MESA;520552 - COLINAS DO SUL;34;66;194,12;34;56;164,71;36;41;113,89;104;163;156,73;
GO;SERRA DA MESA;521487 - NOVA IGUACU DE GOIAS;23;22;95,65;25;14;56,00;27;8;29,63;75;44;58,67;
GO;SERRA DA MESA;;1009;711;70,47;1048;654;62,40;1095;382;34,89;3152;1747;55,43;
GO;ESTRADA DE FERRO;520660 - CUMARI;22;21;95,45;24;11;45,83;25;5;20,00;71;37;52,11;
GO;ESTRADA DE FERRO;522180 - URUTAI;24;22;91,67;24;19;79,17;24;10;41,67;72;51;70,83;
GO;ESTRADA DE FERRO;520510 - CATALAO;648;429;66,20;653;424;64,93;657;183;27,85;1958;1036;52,91;
GO;ESTRADA DE FERRO;521010 - IPAMERI;187;195;104,28;189;163;86,24;191;139;72,77;567;497;87,65;
GO;ESTRADA DE FERRO;521550 - OUVIDOR;39;61;156,41;39;36;92,31;39;12;30,77;117;109;93,16;
GO;ESTRADA DE FERRO;521580 - PALMELO;20;15;75,00;22;9;40,91;22;6;27,27;64;30;46,88;
GO;ESTRADA DE FERRO;521290 - MARZAGAO;20;19;95,00;22;22;100,00;24;5;20,83;66;46;69,70;
GO;ESTRADA DE FERRO;520850 - GOIANDIRA;41;50;121,95;43;37;86,05;46;18;39,13;130;105;80,77;
GO;ESTRADA DE FERRO;520120 - ANHANGUERA;6;10;166,67;7;6;85,71;7;4;57,14;20;20;100,00;
GO;ESTRADA DE FERRO;520590 - CORUMBAIBA;62;51;82,26;62;45;72,58;61;25;40,98;185;121;65,41;
GO;ESTRADA DE FERRO;521878 - RIO QUENTE;29;34;117,24;30;26;86,67;31;16;51,61;90;76;84,44;
GO;ESTRADA DE FERRO;520690 - DAVINOPOLIS;13;27;207,69;14;7;50,00;14;4;28,57;41;38;92,68;
GO;ESTRADA DE FERRO;521480 - NOVA AURORA;13;19;146,15;12;10;83,33;12;12;100,00;37;41;110,81;
GO;ESTRADA DE FERRO;520450 - CALDAS NOVAS;598;412;68,90;624;378;60,58;654;286;43,73;1876;1076;57,36;
GO;ESTRADA DE FERRO;521740 - PIRES DO RIO;219;212;96,80;233;192;82,40;249;131;52,61;701;535;76,32;
GO;ESTRADA DE FERRO;522130 - TRES RANCHOS;20;20;100,00;22;18;81,82;24;7;29,17;66;45;68,18;
GO;ESTRADA DE FERRO;521920 - SANTA CRUZ DE GOIAS;21;17;80,95;22;12;54,55;24;8;33,33;67;37;55,22;
GO;ESTRADA DE FERRO;520480 - CAMPO ALEGRE DE GOIAS;54;41;75,93;54;43;79,63;54;25;46,30;162;109;67,28;
GO;ESTRADA DE FERRO;;2036;1655;81,29;2096;1458;69,56;2158;896;41,52;6290;4009;63,74;
GO;;;50007;41187;82,36;51475;36348;70,61;53104;28226;53,15;154586;105761;68,42;
MA;URS DE CODO;210330 - CODO;1270;1179;92,83;1298;981;75,58;1330;668;50,23;3898;2828;72,55;
MA;URS DE CODO;210360 - COROATA;677;707;104,43;691;734;106,22;708;461;65,11;2076;1902;91,62;
MA;URS DE CODO;210845 - PERITORO;248;252;101,61;248;247;99,60;248;166;66,94;744;665;89,38;
MA;URS DE CODO;211210 - TIMBIRAS;322;66;20,50;334;98;29,34;349;76;21,78;1005;240;23,88;
MA;URS DE CODO;211150 - SAO MATEUS DO MARANHAO;430;313;72,79;449;252;56,12;471;198;42,04;1350;763;56,52;
MA;URS DE CODO;210043 - ALTO ALEGRE DO MARANHAO;263;331;125,86;268;342;127,61;274;225;82,12;805;898;111,55;
MA;URS DE CODO;;3210;2848;88,72;3288;2654;80,72;3380;1794;53,08;9878;7296;73,86;
MA;URS DE VIANA;210100 - ARARI;283;296;104,59;291;282;96,91;299;284;94,98;873;862;98,74;
MA;URS DE VIANA;211280 - VIANA;557;284;50,99;569;256;44,99;582;182;31,27;1708;722;42,27;
MA;URS DE VIANA;210250 - CAJARI;223;167;74,89;218;145;66,51;212;113;53,30;653;425;65,08;
MA;URS DE VIANA;210240 - CAJAPIO;113;73;64,60;114;81;71,05;116;48;41,38;343;202;58,89;
MA;URS DE VIANA;210650 - MATINHA;223;196;87,89;225;222;98,67;227;142;62,56;675;560;82,96;
MA;URS DE VIANA;210830 - PENALVA;440;242;55,00;447;262;58,61;453;142;31,35;1340;646;48,21;
MA;URS DE VIANA;211050 - SAO BENTO;393;582;148,09;412;503;122,09;434;353;81,34;1239;1438;116,06;
MA;URS DE VIANA;210135 - BACURITUBA;57;66;115,79;56;20;35,71;55;33;60,00;168;119;70,83;
MA;URS DE VIANA;210760 - PALMEIRANDIA;190;127;66,84;194;108;55,67;199;84;42,21;583;319;54,72;
MA;URS DE VIANA;211100 - SAO JOAO BATISTA;198;224;113,13;206;175;84,95;218;130;59,63;622;529;85,05;
MA;URS DE VIANA;211290 - VITORIA DO MEARIM;364;233;64,01;373;244;65,42;384;237;61,72;1121;714;63,69;
MA;URS DE VIANA;211170 - SAO VICENTE FERRER;216;165;76,39;222;136;61,26;229;114;49,78;667;415;62,22;
MA;URS DE VIANA;210745 - OLINDA NOVA DO MARANHAO;145;66;45,52;143;93;65,03;139;73;52,52;427;232;54,33;
MA;URS DE VIANA;;3402;2721;79,98;3470;2527;72,82;3547;1935;54,55;10419;7183;68,94;
MA;URS DE BALSAS;210140 - BALSAS;951;904;95,06;977;735;75,23;1008;509;50,50;2936;2148;73,16;
MA;URS DE BALSAS;210610 - LORETO;127;110;86,61;130;47;36,15;132;47;35,61;389;204;52,44;
MA;URS DE BALSAS;210950 - RIACHAO;226;442;195,58;234;424;181,20;243;315;129,63;703;1181;167,99;
MA;URS DE BALSAS;210280 - CAROLINA;247;277;112,15;256;230;89,84;266;174;65,41;769;681;88,56;
MA;URS DE BALSAS;210970 - SAMBAIBA;60;110;183,33;65;56;86,15;70;44;62,86;195;210;107,69;
MA;URS DE BALSAS;210725 - NOVA COLINAS;59;75;127,12;63;58;92,06;66;27;40,91;188;160;85,11;
MA;URS DE BALSAS;210050 - ALTO PARNAIBA;134;133;99,25;137;130;94,89;141;73;51,77;412;336;81,55;
MA;URS DE BALSAS;211200 - TASSO FRAGOSO;98;84;85,71;101;77;76,24;104;48;46,15;303;209;68,98;
MA;URS DE BALSAS;211080 - SAO FELIX DE BALSAS;41;63;153,66;42;28;66,67;44;31;70,45;127;122;96,06;
MA;URS DE BALSAS;211157 - SAO PEDRO DOS CRENTES;47;60;127,66;48;41;85,42;49;18;36,73;144;119;82,64;
MA;URS DE BALSAS;210407 - FEIRA NOVA DO MARANHAO;105;35;33,33;110;32;29,09;114;12;10,53;329;79;24,01;
MA;URS DE BALSAS;210409 - FORMOSA DA SERRA NEGRA;209;136;65,07;213;135;63,38;217;116;53,46;639;387;60,56;
MA;URS DE BALSAS;210410 - FORTALEZA DOS NOGUEIRAS;137;128;93,43;140;80;57,14;142;47;33,10;419;255;60,86;
MA;URS DE BALSAS;211160 - SAO RAIMUNDO DAS MANGABEIRAS;190;281;147,89;195;186;95,38;201;108;53,73;586;575;98,12;
MA;URS DE BALSAS;;2631;2838;107,87;2711;2259;83,33;2797;1569;56,10;8139;6666;81,90;
MA;URS DE CAXIAS;211220 - TIMON;1577;721;45,72;1604;628;39,15;1633;439;26,88;4814;1788;37,14;
MA;URS DE CAXIAS;210300 - CAXIAS;1589;1272;80,05;1599;1383;86,49;1607;1073;66,77;4795;3728;77,75;
MA;URS DE CAXIAS;210660 - MATOES;385;385;100,00;392;335;85,46;399;200;50,13;1176;920;78,23;
MA;URS DE CAXIAS;210780 - PARNARAMA;388;234;60,31;393;222;56,49;398;140;35,18;1179;596;50,55;
MA;URS DE CAXIAS;210340 - COELHO NETO;526;655;124,52;527;738;140,04;528;394;74,62;1581;1787;113,03;
MA;URS DE CAXIAS;210010 - AFONSO CUNHA;79;55;69,62;77;51;66,23;76;46;60,53;232;152;65,52;
MA;URS DE CAXIAS;210030 - ALDEIAS ALTAS;286;212;74,13;284;138;48,59;282;119;42,20;852;469;55,05;
MA;URS DE CAXIAS;210390 - DUQUE BACELAR;136;127;93,38;137;126;91,97;137;55;40,15;410;308;75,12;
MA;URS DE CAXIAS;211107 - SAO JOAO DO SOTER;216;111;51,39;214;116;54,21;213;102;47,89;643;329;51,17;
MA;URS DE CAXIAS;;5182;3772;72,79;5227;3737;71,49;5273;2568;48,70;15682;10077;64,26;
MA;URS DE BACABAL;210120 - BACABAL;1021;65;6,37;1035;105;10,14;1051;48;4,57;3107;218;7,02;
MA;URS DE BACABAL;210207 - BOM LUGAR;166;153;92,17;171;170;99,42;178;120;67,42;515;443;86,02;
MA;URS DE BACABAL;210590 - LAGO VERDE;209;48;22,97;208;47;22,60;208;26;12,50;625;121;19,36;
MA;URS DE BACABAL;210810 - PAULO RAMOS;239;271;113,39;245;196;80,00;252;104;41,27;736;571;77,58;
MA;URS DE BACABAL;210215 - BREJO DE AREIA;65;107;164,62;66;66;100,00;67;46;68,66;198;219;110,61;
MA;URS DE BACABAL;210635 - MARAJA DO SENA;97;170;175,26;101;126;124,75;106;97;91,51;304;393;129,28;
MA;URS DE BACABAL;211300 - VITORINO FREIRE;353;241;68,27;359;227;63,23;365;166;45,48;1077;634;58,87;
MA;URS DE BACABAL;210040 - ALTAMIRA DO MARANHAO;134;64;47,76;134;49;36,57;135;27;20,00;403;140;34,74;
MA;URS DE BACABAL;210355 - CONCEICAO DO LAGO-ACU;192;115;59,90;194;127;65,46;196;78;39,80;582;320;54,98;
MA;URS DE BACABAL;210740 - OLHO D'AGUA DAS CUNHAS;192;96;50,00;196;60;30,61;199;76;38,19;587;232;39,52;
MA;URS DE BACABAL;211140 - SAO LUIS GONZAGA DO MARANHAO;217;307;141,47;222;353;159,01;228;57;25,00;667;717;107,50;
MA;URS DE BACABAL;;2885;1637;56,74;2931;1526;52,06;2985;845;28,31;8801;4008;45,54;
MA;URS DE ROSARIO;210110 - AXIXA;124;97;78,23;124;79;63,71;122;47;38,52;370;223;60,27;
MA;URS DE ROSARIO;210510 - ICATU;324;251;77,47;338;219;64,79;355;171;48,17;1017;641;63,03;
MA;URS DE ROSARIO;210710 - MORROS;234;99;42,31;243;117;48,15;252;83;32,94;729;299;41,02;
MA;URS DE ROSARIO;210960 - ROSARIO;422;373;88,39;432;375;86,81;444;376;84,68;1298;1124;86,59;
MA;URS DE ROSARIO;210125 - BACABEIRA;170;158;92,94;171;158;92,40;172;166;96,51;513;482;93,96;
MA;URS DE ROSARIO;211020 - SANTA RITA;332;161;48,49;344;241;70,06;357;227;63,59;1033;629;60,89;
MA;URS DE ROSARIO;210170 - BARREIRINHAS;700;736;105,14;704;653;92,76;710;317;44,65;2114;1706;80,70;
MA;URS DE ROSARIO;210940 - PRIMEIRA CRUZ;187;166;88,77;188;124;65,96;190;137;72,11;565;427;75,58;
MA;URS DE ROSARIO;210237 - CACHOEIRA GRANDE;106;123;116,04;110;95;86,36;115;63;54,78;331;281;84,89;
MA;URS DE ROSARIO;210500 - HUMBERTO DE CAMPOS;363;389;107,16;359;350;97,49;355;263;74,08;1077;1002;93,04;
MA;URS DE ROSARIO;210920 - PRESIDENTE JUSCELINO;153;220;143,79;155;159;102,58;157;99;63,06;465;478;102,80;
MA;URS DE ROSARIO;211027 - SANTO AMARO DO MARANHAO;182;84;46,15;187;98;52,41;193;53;27,46;562;235;41,81;
MA;URS DE ROSARIO;;3297;2857;86,65;3355;2668;79,52;3422;2002;58,50;10074;7527;74,72;
MA;URS DE ZE DOCA;211400 - ZE DOCA;567;494;87,13;586;408;69,62;609;318;52,22;1762;1220;69,24;
MA;URS DE ZE DOCA;210087 - ARAGUANA;171;316;184,80;177;276;155,93;185;188;101,62;533;780;146,34;
MA;URS DE ZE DOCA;210290 - CARUTAPERA;265;334;126,04;275;316;114,91;287;129;44,95;827;779;94,20;
MA;URS DE ZE DOCA;210632 - MARACACUME;239;45;18,83;242;46;19,01;245;14;5,71;726;105;14,46;
