Estratégia de Vacinação contra HPV - 2015
Coberturas vacinais - HPV Quadrivalente D1 - CSV - Sexo feminino de 9 a 11 anos de idade 
UF;REGIONAL;NOM_MUN;09A-POP;09A-DOS;09A-COB;10A-POP;10A-DOS;10A-COB;11A-POP;11A-DOS;11A-COB;TOT-POP-09-11;TOT-DOS-09-11;TOT-COB-09-11
RS;19- DRS- FREDERICO WESTPHALEN;431380 - PALMITINHO;48;52;108,33;49;47;95,92;51;36;70,59;148;135;91,22;
RS;19- DRS- FREDERICO WESTPHALEN;432190 - TRES PASSOS;149;153;102,68;156;107;68,59;164;77;46,95;469;337;71,86;
RS;19- DRS- FREDERICO WESTPHALEN;432350 - VISTA ALEGRE;20;17;85,00;22;12;54,55;24;15;62,50;66;44;66,67;
RS;19- DRS- FREDERICO WESTPHALEN;432370 - VISTA GAUCHA;17;11;64,71;18;16;88,89;19;12;63,16;54;39;72,22;
RS;19- DRS- FREDERICO WESTPHALEN;430237 - BOM PROGRESSO;18;23;127,78;20;11;55,00;22;13;59,09;60;47;78,33;
RS;19- DRS- FREDERICO WESTPHALEN;431590 - RODEIO BONITO;42;42;100,00;42;41;97,62;41;14;34,15;125;97;77,60;
RS;19- DRS- FREDERICO WESTPHALEN;432310 - VICENTE DUTRA;41;32;78,05;41;23;56,10;42;23;54,76;124;78;62,90;
RS;19- DRS- FREDERICO WESTPHALEN;430607 - CRISTAL DO SUL;21;26;123,81;21;8;38,10;21;3;14,29;63;37;58,73;
RS;19- DRS- FREDERICO WESTPHALEN;430064 - AMETISTA DO SUL;65;70;107,69;66;68;103,03;66;56;84,85;197;194;98,48;
RS;19- DRS- FREDERICO WESTPHALEN;431344 - NOVO TIRADENTES;15;8;53,33;16;15;93,75;17;5;29,41;48;28;58,33;
RS;19- DRS- FREDERICO WESTPHALEN;432140 - TENENTE PORTELA;122;83;68,03;121;48;39,67;118;59;50,00;361;190;52,63;
RS;19- DRS- FREDERICO WESTPHALEN;430185 - BARRA DO GUARITA;26;18;69,23;27;20;74,07;28;8;28,57;81;46;56,79;
RS;19- DRS- FREDERICO WESTPHALEN;430745 - ESPERANCA DO SUL;20;27;135,00;22;14;63,64;23;14;60,87;65;55;84,62;
RS;19- DRS- FREDERICO WESTPHALEN;431160 - LIBERATO SALZANO;44;31;70,45;45;20;44,44;47;10;21,28;136;61;44,85;
RS;19- DRS- FREDERICO WESTPHALEN;432132 - TAQUARUCU DO SUL;19;30;157,89;21;14;66,67;23;13;56,52;63;57;90,48;
RS;19- DRS- FREDERICO WESTPHALEN;432147 - TIRADENTES DO SUL;47;36;76,60;51;34;66,67;55;33;60,00;153;103;67,32;
RS;19- DRS- FREDERICO WESTPHALEN;431449 - PINHEIRINHO DO VALE;38;40;105,26;40;27;67,50;42;20;47,62;120;87;72,50;
RS;19- DRS- FREDERICO WESTPHALEN;430850 - FREDERICO WESTPHALEN;195;193;98,97;203;175;86,21;211;124;58,77;609;492;80,79;
RS;19- DRS- FREDERICO WESTPHALEN;;1364;1255;92,01;1417;1002;70,71;1468;751;51,16;4249;3008;70,79;
RS;;;77272;60133;77,82;80532;54044;67,11;84048;41174;48,99;241852;155351;64,23;
